Name,Date,Nationality,Summary,Description
Svante Arrhenius ,1859-1927,Sweish, Electrolytic theory of dissociation,"Known as one of the founders of physical chemistry, Arrhenius was awarded the Nobel Prize in Chemistry for his work involving the electrolytic theory of dissociation."
George Washington Carver ,1864-1943,American," Agricultural chemistry creations, including over 300 uses for the common peanut",George Washington Carver was born a slave and later became an agricultural chemist. The main goal of his work was to improve the lives of poor black and white southern farmers. Some of his greatests accomplishments revolve around the many uses he found for peanuts.
Marie Curie ,1867-1934,Polish," Research on Radioactivity, discovered Polonium and Radium",Marie Curie was the first woman to win a Nobel Prize. She won this award for her research on radioactivity. She is also the only woman to win two Nobel Prizes; one in physics and one in chemistry. She discovered both Polonium and Radium.
Fritz Haber ,1868-1934,German," Synthesized ammonia and discovered calcium, sodium, potassium and boron","Fritz Haber won the 1918 Nobel Prize in Chemistry for his work on synthesizing ammonia, a process which is very improtant for fertilizers and creating explosives. To this day, approximately half of the world’s population relies on his discovered method for making fertilizer. Haber has been called the “father of chemical warfare” because of his work with poisonous gases throughout WWI."
Otto Hahn ,1879-1968,German, Research in areas of radioactivity and radiochemistry,"Often called the “father of nuclear chemistry,” Otto Hahn co-discovered nuclear fission in 1938 and was awarded the Nobel Prize in Chemistry for it in 1944. Hahn also discovered mesothorium, which was used in medical radiation treatments at a much lower cost than previously available methods."
Linus Pauling ,1901-1994,American, One of the founders of quantum chemistry,Linus Pauling is the only person to win two unshared Nobel Prizes. His first was in Chemistry for his research in the nature of chemical bonds and the other was the Nobel Peace Prize.
Frederick Sanger ,1918-present,British," Research on proteins, insulin and nucleic acids",Sanger is the only person to twice win the Nobel Prize in Chemistry. He won his first Nobel Prize in 1958 for his discovery of the structure of insulin. His second Nobel Prize was awarded in 1980 for his findings on the sequencing of DNA molecules.
Rosalind Franklin ,1920-1958,English, Discovery of DNA structure. X-ray diffraction,This physical chemist was an expert in crystallography and X-ray diffraction. She used these skills to study DNA fiber. She is known for taking a key photograph that led to great insight into the structure of DNA.
Mario Molina ,1943-present,Mexican, Research on how human-made compounds affect the ozone layer,Mario Molina’s work helped to find the Antarctic ozone hole. He won the Nobel Prize in Chemistry for his research that proved that chlorofluorocarbon gases are harmful to the Earth’s ozone layer.
Ahmed Zewail ,1946-present,Egyptian, Research on femtochemistry,"Zewail is known as the “father of femtochemistry,” an area of physical chemistry which analyzes chemical reactions over very short periods of time. This type of study allows for scientists to see why some chemical reactions take place, but not others. Zewail won the Nobel Prize in Chemistry in 1999 for his work in this field."
Galileo Galilei ,1564-1642,Italian, Mathematical analysis in astronomy and physics,Galileo was a math professor whose studies in nature and astronomy resulted in great advancements in the field of physics. His improvements in telescope technology and resulting observations worked to support Copernican theory.
Robert Hooke ,1635-1703,English, Hooke’s Law of Elasticity,"This English physicist discovered the law of elasticity, which is now named after him. He also was one of the first advocates for evolution as well as one of the first to suggest that Jupiter rotated on its axis."
Isaac Newton ,1642-1727,English, Developed theories on mechanics and gravitation,Sir Isaac Newton is often thought of as a key figurehead in the scientific revolution. His book titled Mathematical Principles of Natural Philosophy explained laws of motion and universal gravitation; ideas which have commanded the attention of scientists for three centuries.
Alessandro Volta ,1745-1827,Italian, Invented first electric battery,"Volta is famous for his works in physics and chemistry. His experimentation led him to discover that electrical potential and charge, for any given object, are proportional. Further studies and work led him to create the first battery made of zinc and copper. It is believed that his contributions are why the unit for electric potential is called the volt."
Michael Faraday ,1791-1867,English, Discovered electromagnetic induction and the idea for the first electrical transformer,"English scieintist Michael Faraday made great contributions in the areas of electrochemistry and electromagnetism. His work in magnetic fields, conductors and direct currents led Faraday to lay the foundation for the idea of electromagnetic fields in physics. Additionally, he noticed that rays of light could be affected by magnetism."
Lord Kelvin ,1824-1907,Irish, Advanced the 1st and 2nd laws of thermodynamics and developed the absolute thermometric scale,"Also known as William Thomson, Lord Kelvin is credited with creating the Kelvin scale. This is a temperature scale that was based on absolute zero. He also did a lot of work regarding mathematical analysis of electricity as well as working toward formulating the first and second laws of thermodynamics."
James Clerk Maxwell ,1831-1879,Scottish, Theory of Electromagnetism and Kinetic theory of gases,"Scottish physicist James Clerk Maxwell came up with the concept of electromagnetic radiation. Interestingly, his work was the basis for Einstein’s special theory of relativity. Additionally, he thought of the kinetic theory of gases. His notions are the foundation for quantum mechanics and our understanding of the structure of atoms and molecules."
Nikola Tesla ,1856-1943,Serbian, Alternating current,Nikola Tesla created the alternating current electrical system which he patented and later sold to George Westinghouse. In 1891 he invented the “Tesla coil” which is used to this day in radio technology.
J.J. Thomson ,1856-1940,British, Showed existence of the electron,J.J. Thomson is recognized for proving the existence of electrons and isotopes as well as creating the mass spectrometer. Thomsons’s work in conducting electricity in gases and his discovery of the electron won him the 1906 Nobel Prize in Physics.
Max Planck ,1858-1947,German, Formulated quantum theory,This German theoretical physicist is the man responsible for originating the quantum theory. His work resulted in him receiving the 1918 Nobel Prize in Physics. His theory completely changed and advanced human concepts of atomic and subatomic processes.
Marie Curie ,1867-1934,Polish, Discovered radioactivity of thorium and discovered polonium and radium,"This two-time winner of the Nobel Prize is most famous for her findings on radioactivity. She was the first woman to win a Nobel Prize, as well as the only woman to win this award in two different categories. Marie Curie is regarded as the most famous female scientist to date."
Ernest Rutherford ,1871-1937,British, Theory on existence of atomic nucleus,Ernest Rutherford’s studies in radioactivity are what directed others to explore nuclear physics. He was the first person to split an atom and he has been given the name “Father of the Nuclear Age.”
Guglielmo Marconi ,1874-1937,Italian, Wireless telgraphy,Inventor and physicist Guglielmo Marconi was awarded the Nobel Prize in physics for breakthrough work in radio technology. He created the components necessary for wireless telegraphy. Marconi was the first person to send wireless signals across the Atlantic in 1901.
Albert Einstein ,1879-1955,German, Theory of Relativity,German born Albert Einstein developed the theory of relativity. He is often thought to be the most important physicist in the 20th century. Einstein told President Roosevelt that Germany was probably developing an atomic bomb during WWII and this resulted in the United States starting up the Manhattan Project.
Niels Bohr ,1885-1962,Danish," Contributions to quantum theory, nuclear reactions and nuclear fission",Bohr was a successful Nobel Prize winning Danish physicist who proposed important theories regarding atomic structures and radiation. He was also a part of the Manhattan Project during WWII.
Erwin Schrodinger ,1887-1961,Austrian, Quantum mechanics contributions and Schrodinger’s wave equation,Shrodinger greatly contributed to the basics of quantum mechanics as well as the wave theory of matter. Due to his research and work he was awarded the Nobel Prize for Physics in 1933 for his creation of the Schrodinger equation. This equation depicts the way in which the quantum state of some physical systems change over time.
James Chadwick ,1891-1974,English, Discovered the neutron,"Chadwick’s 1932 discovery of the neutron awarded him the 1935 Nobel Prize in physics. He was also a part of the Manhattan Project during WWII, heading up the team of British scientists."
Werner Heisenberg ,1901-1976,German, Quantum mechanics contributions and the Heisenberg uncertainty principle,"One of the main thinkers behind quantum mechanics, Heisenberg was actually awarded the Nobel Prize for establishing quantum mechanics. He is also famous for his uncertainty principle which posits that the more accurately you know the position of a particle, the least precisely you can know the particle’s momentum, and vice versa."
Richard Feynman ,1918-1988,American," Path integral formulation of quantum mechanics, particle physics, theory of quantum electrodynamics and physics of superfluidity",Richard Feynman is well known for his advancements in quantum mechanics. He was a big part of the Manhattan Project in which he helped to design the atomic bomb. He was a professor at Cornell University and has won the Nobel Prize in Physics.
Stephen Hawking ,1942-present,British, Work on black holes. Advances in General Theory of Relativity and Quantum mechanics.,Stephen Hawking is widely known for his work involving black holes and radiation as well as gravitational singularities theorems within general relativity. He has many popular theories that he has shared in several best-selling books.
Caroline Herschel ,1750-1848,German, Discovering comets,"Caroline Herschel worked closely together with her brother Sir William Herschel throughout their careers as astronomers. Caroline discovered several comets, one of which, the 35P/Herschel-Rigollet, is named after her. She was the first woman scientist to be recognized by the United Kingdom."
Maria Mitchell ,1818-1889,American, Findings in astronomy,Maria Mitchell was the very first American female to become a professional astronomer. She discovered a comet in 1847 that was aptly named “Miss Mitchell’s Comet.”
Marie Curie ,1867-1934,Polish, Work on radioactivity,Marie Curie was the first woman to win a Nobel Prize and the only woman to win this award in two categories: Physics and Chemistry. She discovered polonium and radium and her work helped with the creation of X-rays.
Lise Meitner ,1878-1968,Austrian, Work on radioactivity and nuclear physics,"Lise Meitner was a key member of a group that discovered nuclear fission. One of her colleagues, Otto Hahn, was given the Noble Prize for this work and Meitner’s exclusion from the award is considered to be a huge error by the Nobel committee."
Irene Joliot Curie ,1897-1956,French, Study of radiation,"Daughter of famed Marie Curie, Irene Joliot Curie won the Nobel Prize in Chemistry in 1935 for the finding of artificial radioactivity. She, along with her husband Frederic, also turned boron into radioactive nitrogen as well as aluminim into phosphorus and magnesium into silicon."
Rita Levi-Montalcini ,1909-2012,Italian, Nerve growth studies,Rita Levi-Montalcini was a neurologist who won the Nobel Prize in Physiology or Medicine in 1986 for her findings in nerve growth factor (NGF). She was the first Nobel laureate to live past her 100th birthday.
Dorothy Hodgkin ,1910-1994,British, Protein crystallography,Dorothy Hodgkin is known for her advancement of X-ray crystallography techniques which are now implemented to figure out the three dimensional structures of biomolecules. She was given the Nobel Prize in Chemistry for her findings on the makeup of vitamin B12.
Chien-Shiung Wu ,1912-1997,Chinese, Work with experimental physics and radioactivity,Chien-Shiung Wu is known for her work on the Manhattan Project and her help with finding the process for separating uranium into U-238 and U-235. She has several nicknames including the “Chinese Maria Curie” and the “First Lady of Physics.”
Gertrude Elion ,1918-1999,American, Development of new drugs,Gertrude Elion was a joint-winner of the Nobel Prize in Physiology or Medicine in 1988 “for discoveries of important principles for drug treatment.” One of her most notable creations was the development of the AIDS drug AZT.
Rosalind Franklin ,1920-1958,British," Research on RNA, DNA, graphite, coal and viruses",Rosalind Franklin was a X-ray crystallographer and biophysicist whose work greatly contributed to the comprehension of molecular structures. Her most notable work revolved around X-ray diffraction images of DNA. Her work in this resulted in the finding of the DNA double helix.
Jane Goodall ,1934-present,British, Primate studies,Jane Goodall is known world-wide for her groundbreaking studies on primates. She is considered the top expert on chimpanzeees in the world and is perhaps best known for her 45 year study on the social lives of these animals in Tanzania.
Shirley Jackson ,1946-present,American, Work in nuclear physics,Shirley Ann Jackson was the first African American woman to attain a doctorate degree at MIT in nuclear physics. She has received many awards for her research and work as well as several honorary doctorate degrees.
Elizabeth Blackburn ,1948-present,Austrian, Work with telomere,Elizabeth Blackburn won the Nobel Prize in Physiology or Medicine in 2009 for her discovery of telomerase which is the enzyme which replenishes telomere. Telomere is part of the end of a chromosome which protects them.
Melissa Franklin ,1957-present,American, Particle physics studies,Melissa Franklin currently holds a position as an experimental particle physicists at Harvard University where she is Department Chair. She headed a team at the Fermi National Acceleration Lab in Chicago where they found the first signs that top quarks exist. Franklin was also the first woman to get tenure at the Harvard Physics department.
Thales ,c.624 BC-c.546 BC,Greek, Organizing and formulating the five theorems of geometry,"By using his knowledge of geometry, Thales was able to determine how far a ship was out at sea and he could measure the height of the pyramids based on the lenth of their shadows. He has also received credit for formulating five theorems of geometry."
Pythagoras ,c.570 BC-c.495 BC,Greek, Pythagorean Theorem,"Pythagoras is best known for the theorem that is named after him, which helps solve the length of the hypotenuse in a right triangle. He is also credited with creating the tetractys, which are triangular figures that have four rows and each row adds up to ten."
Euclid ,fl. 3rd Century BC,Greek, Euclidean Geometry,"Euclid produced a work entitled Euclid’s Elements which was a discussion of all the mathematical principles of his time. It served as a basis for geometry and it is still used in schools today.The work was comprised of 13 volumes and it included number theories, deductions, and other mathematical concepts."
Archimedes ,c.287 BC-c.212 BC,Greek, Calculated pi to one of the most accurate figures of his time.,There are several contributions that Archimedes has made to mathematics. One major discovery that he made was a way for finding the volume of a sphere. He also discovered the principal of buoyancy (allegedly while he was taking a bath one evening) and the theory of the Powers of Ten.
Eratosthenes ,c.276 BC-c.195 BC,Greek, First to calculate the earth’s circumference using stades,This Greek mathematician made many accurate calculations for the time in which he lived. He calculated the tilt of the earth on its axis as well as the distance of the earth from the sun. His findings led him to suggest that there should be a “leap day” every four years.
Ptolemy ,c.90-c.168,Greco," Published Almagest, which applies mathematical theories to the motion of the planets and sun","Although much of his focus was on astronomy, Ptolemy contributed to the field of mathematics in significant ways. One of his major contributions was his table of chord lengths in a circle which remains one of the earliest tables of a trigonometric function today. He also applied ideas of spherical geometry to his study of astronomy."
Aryabhata ,476-550,Indian, One of the first mathematicians to calculate an approximation of pi,Aryabhatta was one of the best known Indian mathematicians of ancient times. He developed formulas for determining the areas of circles and triangles and he also created the precursor to the table of Sines. He was also the first to use a zero as a placeholder in his place-value system.
Omar Khayyam ,1048-1131,Persian, Treatise on Demonstration of Problems of Algebra,Khayyam helped lay the groundwork for the field of algebra. He also developed methods for sloving cubic equations. His ideas also helped lead the way to developing non-Euclidean geometry.
Fibonacci ,c.1170-c.1250,Italian, Fibonacci Numbers,"Also known as Fibonacci, Leonardo Bigollo was mainly responsible for educating Europeans about the Hindu-Arabic numeral system by using one of his writings – Book of Calculation. He also started Fibonacci numbers, which is a sequence of numbers in which each number is the sum of the two numbers preceding it."
Luca Pacioli ,1445-1517,Italian, The Father of Accounting,"Pacioli published a textbook entitled Everything about Arithmetic, Geometry and Proportion in 1494. He also spend much of his time translating Elements, Euclid’s major work, into Latin. He is also credited with creating the first ledger and journal system for bookkeeping which revolutionized the accounting industry."
John Napier ,1550-1617,Scottish, Discovered logarithms,"In his work Mirifici Logarithmorum Canonis Descriptio, Napier included nearly 150 pages related to natural logarithms and tables related to those humbers. He also included theories regarding spherical trigonometry, which is also known as Napier’s Rules of Circular Parts."
Rene Descartes ,1596-1650,French, Cartesian Coordinate System,"Descartes has made several contributions to the field of mathematics. In addition to the Cartesian coordinate system, he is also referred to as the father of analytical geometry. Descartes was also the first to use superscripts to denote exponents and he began the custom of using letters to represent unknown numbers in algebraic equations."
Pierre de Fermat ,c.1607-1665,French, Fermat’s Last Theorem,Fermat was beginning his work in analytical geometry before Descartes published his works on the topic. He was also the first mathematician to evaluate integral power functions and he also studied Pell’s equation. Fermat numbers were also named after him.
Blaise Pascal ,1623-1662,French, Pascal’s Calculators,"Pascal was a pioneer in the field of mathematics. He helped create the field of projective geometry when he was only a teenager and he helped influence probability theory by corresponding with Pierre de Fermat, a fellow mathematician."
Isaac Newton ,1642-1727,English, Newton’s method for estimating roots of a function,"Newton is credited with being one of the developers of infinitesimal calculus, although Gottfried Leibniz has disputed this. Some of the other things that Newton is known for creating include the generalized binomial theorem, Newton’s identities, and more."
Gottfried Leibniz ,1646-1716,German, Helped refine the binary systems which became the foundation for today’s computers,"Along with Isaac Newton, Leibniz helped create the field of infinitesimal calculus, although there is some controversy concerning how large Leibniz’s role was in the discovery. He was also the first to notice that coefficients of a linear equation could be manipulated into a matrix to find if there is a solution."
Daniel Bernoulli ,1700-1782,Swiss, Formulated a way to measure blood pressure; Bernoulli Principle,"In 1724, Bernoulli published Mathematical Exercises, his first book regarding marth. In addition, he discovered the relationship between the flow of blood compared to the amount of pressure that it is under. Bernoulli is also credited with discovering the fluid equation and the Bernoulli Principle, which is used in aerodynamics."
Benjamin Banneker ,1731-1806,African, Developed a mathematical formula to predict a solar eclipse,"As a freed slave in the 18th century, Banneker is considered the first African American scientist. But his interest in mathematics and astronomy helped bring him recognition. He is credited with publishing several state almanacs with tide tables, the times for future eclipses and formulas for medicines."
Sophie Germain ,1776-1831,French, Formulated Sophie Germain’s theorem,"Germain’s main focus was in number theory. She was inspired by reading the works of other mathematicians, including Gauss and Legendre. She also presented a derivation of a differential equation which won her a prize from the Paris Academy of Sciences. Her work with Fermat’s Last Theorem helped bring her even more recognition."
Carl Gauss ,1777-1855,German, Often referred to as the Prince of Mathematicians,"After creating a 17-sided polygon, which was thought impossible by most people of his time, Gauss decided to delve into the field of mathematics. He wrote a book about number theory and also wrote Disquisitines Arithmeticae, which was one of the most influential math books in history."
Evariste Galois ,1811-1832,French, Helped lay the foundations for Galois theory and group theory,Solved a long-term problem that had perplexed mathematicians for years by determining a way to solve polynomials by using radicals. He is also credited with being the first person to use the term “group” in the field of mathematics when referring to a group of permutations.
Ada Lovelace ,1815-1852,English, Referred to as the world’s first computer programmer,"Lovelace worked closely with Charles Babbage, the man credited with creating the first mechanical computer. She helped write instructions for using the computer, which earned her the reputation of the first computer programmer in the world. She also translated articles about the machine for publication in magazines around the world."
George Boole ,1815-1864,English, Author of The Laws of Thought; also invented Boolean logic,"In some ways, Boole is considered to be the founder of the computer science field because his theories and contributions to mathematics helped lay the groundwork for digital computers. Boolean logic, for instance, was fundamental in developing computer science and abstractly describing digital circuits."
Bernhard Riemann ,1826-1866,German, Developed Riemannian geometry,"Riemann’s work in geometry helped lay the groundwork for topology, a field of modern mathematical physics that is still around today. At the time of his death, he was working on a project regarding a collection of numbers and points throughout space. He also developed the Riemann integral and the Riemann zeta function."
Georg Cantor ,1845-1918,German, Formulated the set theory,"In 1889, following a nervous breakdown, Cantor created the German Mathematical Society and worked on creating the first International Congress of Mathematicians. He published a paper dealith with algebraic numbers and proving that they can be corresponded to positive integers with both having the same power."
David Hilbert ,1862-1943,German," Formulated Hilbert Spaces, a major theory in functional analysis","As one of the founders of proof theory, Hilbert has been referred to as one of the most influential mathematicians in the last couple centuries. He has also helped make a distinction between mathematics and metamathematics, which is the study of using mathematics with mathematical methods."
Emmy Noether ,1882-1935,German, Formulated Noether’s theorem,"One of Noether’s concentrations in the field of mathematics was mathematical rings. She made several breakthroughs in abstract algebra and her paper – Theory of Ideals in Ring Domains – became the groundwork for ring theory. In 1932, she won the Ackermann-teubner Memorial Prize in Mathematics for her contributions."
John von Neumann ,1903-1957,Hungarian," Established Dirac-von Neuman axioms, the mathematical foundation for quantum mechanics","Von Neumann contributed greatly to the field of mathematics. In addition to laying the groundwork for quantum mechanics, he had dozens of publications, including Mathematical Foundations of Quantum Mechanics and Computer and the Brain. He also applied mathematics to the field of nuclear energy when working on the Manhattan Project."
Alan Turing ,1912-1954,British, Using computation theory to create the Turing machine,"As one of the most respected mathematicians and logicians, Turing made great strides in these fields. He helped develop the field of mathematical biology and he published a paper about the topic entitled The Chemical Basis of Morphogenesis. He also worked with algorithms and computations to design the first general purpose computer."
John Nash ,born 1928,American, Nash equilibrium,Nash focused on algebraic geometry in his mathematical studies. He developed the Nash embedding theorem which demonstrated abstract Riemannian manifolds could be isometrically attained as a Euclidean space submanifold. He also contributed ideas to singularity theory and parabolic partial differential equations.
Edward Witten ,born 1951,American, Proposed the M-theory of the universe,"Witten has published more than 300 works that focus on mathematical topics like string theory, geology, topology and quantum field theory. He has won prizes for his work in string theory, including the Fields Medal in 1990 and the Dirac medal from the International Center for Theoretical Physics in 1985."
Andrew Wiles ,born 1953,British, Proved Fermat’s Last Theorem,"Beginning in his childhood years, Wiles was fascinated with Fermat’s Last Theorem. He spent nearly six years working on proving the theorem. He has appeared on the BBC for his work and he has won several prizes in his career, including the Fermat Prize in 1995 and a Royal Medal in 1996."
King David ,c. 1040–970 BC,Not found,Nation: Kingdom of Israel,"David is very important to Jewish, Christian and Islamic doctrine and culture. In the Bible, David became the second King of Israel after Saul. In prophecy, the promised Messiah by God comes through the line of David, Jesus Christ."
"Cyrus the Great
",c. 600/576–530 BC,Not found,Nation: Achaemenid Empire,"Under Cyrus the Great, the Persian empire embraced all the previous civilized states of the ancient Near East. The empire expanded greatly and acquired much of Southwest Asia, Central Asia, and the Caucasus."
Sun Tzu ,c. 544-496 BC,Not found,Nation: China,"An ancient Chinese philosopher, strategist, and military general who is said to have written The Art of War, an ancient Chinese text on military strategy."
Leonidas ,c. 540-480 BC,Not found,Nation: Greece,"A Greek hero-king of Sparta, the 17th of the line of Agiad, third son of Spartan King Anaxandridas II. He is famous for his leadership at the Battle of Thermopylae."
Pericles ,c. 495–429 BC,Not found,Nation: Greece,"Influential, prominent Greek orator, statesman, and general of Athens during the city’s Golden Age, the period between the Persian and Peloponnesian wars."
Alexander the Great ,356-323 BC,Not found,Nation: Greece,"Established one of the largest empires of the ancient world, with boundaries from the Ionian Sea to the Himalayas. One of the most succesful military commanders, he was undefeated in battle."
Hannibal ,247–183/182 BC,Not found,Nation: Punic Carthage,A great military leader with successful skirmishes against the Roman Republic. Hannibal lived during a time of heavy conflict in the Mediterranean.
Spartacus ,c. 109–71 BC,Not found,Nation: Thracia,"Former gladiator who became an accomplished military leader of the slaves during the Third Servile War, a massive slave uprising against the Roman Republic."
Julius Caesar ,100-44 BC,Not found,Nation: Roman Republic,"Accumulated vast military power. His actions eventually led to his assassination, civil wars, and the creation of the Roman Empire."
Tiberius ,42 BC-37 AD,Not found,Nation: Roman Empire,"Tiberius was one of Rome’s greatest generals, conquering Raetia, Dalmatia, Pannonia, and temporarily Germania; laying the foundations for the northern frontier."
Titus ,39-81 AD,Not found,Nation: Roman Empire,"Before becoming Emperor, Titus gained reputation as a military commander, serving under his father in Judaea during the First Jewish-Roman War."
Hadrian ,76-138 AD,Not found,Nation: Roman Empire,Third of the Five Good Emperors of the Roman Empire. Great reputation as a military administrator and emperor. Hadrian was a philhellene and a humanist.
Marcus Aurelius ,121-180,Not found,Nation: Roman Empire,Roman Emperor from 161 to 180 CE. He was regarded as a Stoic philosopher and the last of the Five Good Emperors. He believed in finding and preserving equanimity in the midst of conflict by following nature as a source of inspiration and guidance.
"Constantine the Great
",c. 272-337,Not found,Nation: Roman Empire,A.k.a. Saint Constantine or Constantine I. Roman Emperor from 306 to 337. First Roman emperor to convert to Christianity.
Attila the Hun ,c.406-453,Not found,Nation: Hunnic Empire,Reigned as ruler of the Huns from 434–453. One of the most feared enemies of the Eastern and Western Roman Empires during his reign.
Macbeth ,c. 1005-1057,Not found,Nation: Scotland,"A king of the Scots who is best known from the fictional account by William Shakespeare. In the fictional account, he is portrayed as evil and ruthless. In reality, he was an able monarch who was greatly admired."
"William the Conqueror
",c. 1028-1087,Not found,Nation: Normandy,"First Norman King of England, reigning from 1066 until his death in 1087. He had descended from Viking raiders and was Duke of Normandy under the title of William II since 1035."
Saladin ,1137/1138-1193,Not found,"Nation: Egypt, Syria","Founded the Ayyubid dynasty. Kurdish Muslim who became the first Sultan of Egypt and Syria. At the peak of his power, his rule included Yemen, Hejaz, Mesopotamia, Syria, Egypt, and parts of North Africa."
Genghis Khan ,1162-1227,Not found,Nation: Mongol Empire,"Born as Temujin, established the Mongol Empire and became the Great Khan. The empire became the largest empire in history."
Kublai Khan ,1215-1294,Not found,Nation: Mongol Empire,"Grandson of Genghis Khan. Second son of Tolui and Sorghaghtani Beki. Ruled as Emperor of China and established the Yuan Dynasty, which included present-day Mongolia, China, Korea, and other nearby areas."
William Wallace ,c. 1270-1305,Not found,Nation: Scotland,Scottish landowner who became an effective leader during the Wars of Scottish Independence. He achieved many victories and was later knighted. Eventually he was captured and brutally executed.
Timur ,1336-1405,Not found,Nation: Turkish,"Turkic ruler who conquered Central, South, and West Asia and founded the Timurid dynasty. He was called “Timur the Lame” in his language and had both Turkish and Mongolian origins."
Henry V ,1386-1422,Not found,Nation: England,"King of England from 1413 to 1422. He acquired much military experience while fighting lords who rebelled against his father, Henry IV. After his father’s passing, Henry quickly garnered rule of the country and initiated a war with France. His son, Henry VI, became the disputed King of France from 1422 to 1453."
Joan of Arc ,c. 1412-1431,Not found,Nation: France,"Led the French army to several significant victories during the Hundred Years’ War, which contributed to the coronation of France’s Charles VII."
Francisco Pizarro ,c. 1471/1476-1541,Not found,Nation: Spain,"Spanish conquistador whose expedition conquered the Inca Empire. Compared to other conquistadors, Pizarro faced larger armies, had fewer men, and was far from Spanish outposts in the Caribbean which could have supplied provisions, arms, and men."
Hernán Cortés ,1485-1547,Not found,Nation: Spain,Spanish Conquistador in the early 16th century. Led an expedition that fell the Aztec Empire and brought large portions of modern-day Mexico under the rule of the King of Castile.
Cuauhtémoc ,c. 1495-1525,Not found,Nation: Aztec,"Final Aztec ruler of Tenochtitlan, ruled from 1520 to 1521. At age 25 he was elected to the post by a council of noblemen, during the Spanish conquest. He defied the invaders and swore to sacrifice Christian all converts in Aztec lands to his gods. He was later captured and hung for treason, but became immortalized as a Mexican hero."
Oda Nobunaga ,1534-1582,Not found,Nation: Japan,"In the late 16th century, Nobunaga started the unification of Japan under the shogunate, which ruled Japan until the Meiji Restoration in 1868."
Lautaro ,1534-1557,Not found,Nation: Mapuche,"Young Mapudungun (“Mapuche”) military commander in Chile’s four year Arauco War (Araucanian War). Achieved victories against Spanish armies armed with lances, muskets and horses even when his own forces were armed with only spears and axes."
Oliver Cromwell ,1599-1658,Not found,Nation: England,"English military leader. Became Lord Protector of the Commonwealth of England, Ireland, and Scotland."
Shivaji ,1627-1680,Not found,Nation: Maratha Empire,"Founder of the Maratha Empire, which covered much of the Indian subcontinent and lasted until 1818. He established an independent Maratha kingdom with Raigad as the capital. In 1674, he was crowned chhatrapati, or, “paramount sovereign,” of the Marathas."
Louis XIV ,1638-1715,Not found,Nation: France,Referred to as Louis the Great or the Sun King. Was a Bourbon monarch who ruled as King of France and Navarre.
Peter the Great ,1672-1725,Not found,Nation: Russia,In numerous successful wars he expanded the Tsardom of Russia into an empire and Russia became a major European power.
George Washington ,1732-1799,Not found,Nation: U.S.A,A Founding Father of the United States. Was the commander of the Continental army during the American Revolution.
Ethan Allen ,1738-1789,Not found,"Nation: Great Britain, U.S.A","During the American Revolutionary War, Allen was a patriot and hero. Known best as a founder of Vermont and the capture of Fort Ticonderoga early in the American Revolutionary War."
John Paul Jones ,1747-1792,Not found,Nation: Scotland,"Scottish sailor who became the U.S.’s first well-known naval fighter in the American Revolution. Although he made enemies with a few American politicians, he was still honored for his skirmishes in British waters during the war."
"Miguel Hidalgo y Costilla
",1753-1811,Not found,Nation: Mexico,"Mexican priest and a leader of Mexico’s War of Independence. He had much enthusiastic support from intellectuals, liberal priests, and many poor folk who were angry after many years of oppression and hunger."
Tecumseh ,1768-1813,Not found,Nation: Shawnee,Native American leader of the Shawnee and a large tribal confederacy (Tecumseh’s Confederacy) which resisted the United States during Tecumseh’s War and the War of 1812.
Napoleon Bonaparte ,1769-1821,Not found,Nation: France,French military leader and emperor who rose to prominence during the French Revolution and associated European wars.
Agustin de Iturbide ,1783-1824,Not found,Nation: Mexico,"Built a military and political coalition that marched into Mexico City on September 27, 1821, ending the Mexican War of Independence."
Francisco de Paula Santander ,1792-1840,Not found,Nation: Columbia,“The Man of the Laws.” A Colombian political and military leader during the 1810-1819 independence war of the United Provinces of New Granada (present-day Colombia).
Robert E. Lee ,1807-1870,Not found,Nation: U.S.A,Commander of the Confederate Army of Northern Virginia in the American Civil War. Lee was a great military leader and was honored even after his defeat in the Civil War.
Giuseppe Garibaldi ,1807-1882,Not found,Nation: Italy,Key figure in the Italian Risorgimento. He fought and commanded in many military campaigns that would eventually unite Italy.
Ulysses S. Grant ,1822-1885,Not found,Nation: U.S.A,Successful war general in the later half of the Civil War. His leadership brought the Union Army victory over their Confederate opponents. Later became a U.S. president.
Geronimo ,1829-1909,Not found,Nation: Bedonkohe Apache,Fought against Mexico and the United States in their attempts to expand into Apache tribal lands (Apache Wars).
Theodore Roosevelt ,1858-1919,Not found,Nation: U.S.A,"26th U.S. president. Aside from politics, Roosevelt was famous for his achievements as an explorer, naturalist, hunter, author, and soldier."
Emilio Aguinaldo ,1869-1964,Not found,Nation: Phillippines,Key figure in Philippines’ revolution against Spain and Philippine-American War (War of Philippine Independence) that resisted American occupation.
Adolf Hitler ,1889-1945,Not found,Nation: Germany,"Chancellor of Germany from 1933 to 1945. Ruled Nazi Germany as its dictator from 1934 to 1945. The cause of Nazism, World War II, and the Holocaust."
"Dwight D. Eisenhower
",1890-1969,Not found,Nation: U.S.A,34th president of the U.S. Five-star general in the U.S. Army during World War II. Also Supreme Commander of the Allied Forces in Europe.
Mao Zedong ,1893-1976,Not found,Nation: China,"Chinese communist revolutionary, politician, and political theorist. Founder of the People’s Republic of China. He slowly rose to power during a period of great conflict and strife in China."
